frame_file,new_chars,ocr_text
frame_000096.png,,Q__tushar1391@gmail.com x\n
frame_000097.png,,Q__tushar1391@gmail.com x\n
frame_000098.png,,Q__tushar1391@gmail.com x\n
frame_000099.png,,Q__tushar1391@gmail.com x\n
frame_000100.png,,Q__tushar1391@gmail.com x\n
frame_000101.png,,Q__tushar1391@gmail.com x\n
frame_000102.png,,Q__tushar1391@gmail.com x\n
frame_000103.png,,Q__tushar1391@gmail.com x\n
frame_000104.png,t ,Q__tushar1391@gmail.com t x\n
frame_000105.png,,Q__tushar1391@gmail.com x\n
frame_000106.png,,Q__tushar1391@gmail.com x\n
frame_000107.png,,Q__tushar1391@gmail.com x\n
frame_000108.png,,Q__tushar1391@gmail.com x\n
frame_000109.png,,Q__tushar1391@gmail.com x\n
frame_000110.png,,Q__tushar1391@gmail.com x\n
frame_000111.png,,Q__tushar1391@gmail.com x\n
frame_000112.png,,Q__tushar1391@gmail.com x\n
frame_000113.png,,Q__tushar1391@gmail.com x\n
frame_000114.png,,Q__tushar1391@gmail.com x\n
frame_000115.png,,Q__tushar1391@gmail.com x\n
frame_000116.png,,Q__tushar1391@gmail.com x\n
frame_000117.png,,Q__tushar1391@gmail.com x\n
frame_000118.png,,Q__tushar1391@gmail.com x\n
frame_000119.png,,Q__tushar1391@gmail.com x\n
frame_000120.png,,Q__tushar1391@gmail.com x\n
frame_000121.png,,Q__tushar1391@gmail.com x\n
frame_000122.png,,Q__tushar1391@gmail.com x\n
frame_000123.png,,Q__tushar1391@gmail.com x\n
frame_000124.png,,Q__tushar1391@gmail.com x\n
frame_000125.png,,Q__tushar1391@gmail.com x\n
frame_000126.png,,Q__tushar1391@gmail.com x\n
frame_000127.png,,Q__tushar1391@gmail.com x\n
frame_000128.png,,Q__tushar1391@gmail.com x\n
frame_000129.png,,Q__tushar1391@gmail.com x\n
frame_000130.png,,Q__tushar1391@gmail.com x\n
frame_000131.png,,Q__tushar1391@gmail.com x\n
frame_000132.png,,Q__tushar1391@gmail.com x\n
frame_000133.png,,Q__tushar1391@gmail.com x\n
frame_000134.png,,Q__tushar1391@gmail.com x\n
frame_000135.png,,Q__tushar1391@gmail.com x\n
frame_000136.png,,Q__tushar1391@gmail.com x\n
frame_000137.png,,Q__tushar1391@gmail.com x\n
frame_000138.png,,Q__tushar1391@gmail.com x\n
frame_000139.png,,Q__tushar1391@gmail.com x\n
frame_000140.png,e,Q_Searchmail\n
frame_000141.png,,Q_Searchmail\n
frame_000142.png,,Q_Searchmail\n
frame_000143.png,,Q_Searchmail\n
frame_000144.png,,Q_Searchmail\n
frame_000145.png,,Q_Searchmail\n
frame_000146.png,,Q_Searchmail\n
frame_000147.png,,Q_Searchmail\n
frame_000148.png,,Q_Searchmail\n
frame_000149.png,,Q_Searchmail\n
frame_000150.png,,Q_Searchmail\n
frame_000151.png,,Q_Searchmail\n
frame_000152.png,,Q_Searchmail\n
frame_000153.png,,Q_Searchmail\n
frame_000154.png,,Q_Searchmail\n
frame_000155.png,,Q_Searchmail\n
frame_000156.png,,Q_Searchmail\n
frame_000157.png,,Q_Searchmail\n
frame_000158.png,q  tui391@gg.ox,Q tusheri391@gqagil.com x\n
frame_000159.png,,Q tusheri391@gqagil.com x\n
frame_000160.png,ar1j,Q tushar1391@qrjai.com x\n
frame_000161.png,,Q tushar1391@qrjai.com x\n
frame_000162.png,igpl,Q tushari391@grpail.com x\n
frame_000163.png,__1m,Q__tushar1391@gmail.com x\n
frame_000164.png,,Q__tushar1391@gmail.com x\n
frame_000165.png,,Q__tushar1391@gmail.com x\n
frame_000166.png,,Q__tushar1391@gmail.com x\n
frame_000167.png,,Q__tushar1391@gmail.com x\n
frame_000168.png,,Q__tushar1391@gmail.com x\n
frame_000169.png,,Q__tushar1391@gmail.com x\n
frame_000170.png,,Q__tushar1391@gmail.com x\n
frame_000171.png,,Q__tushar1391@gmail.com x\n
frame_000172.png,,Q__tushar1391@gmail.com x\n
frame_000173.png,,Q__tushar1391@gmail.com x\n
frame_000174.png, n,Q__tushar1391@gmail.com N x\n
frame_000175.png,,Q__tushar1391@gmail.com N x\n
frame_000176.png,,Q__tushar1391@gmail.com N x\n
frame_000177.png,,Q__tushar1391@gmail.com N x\n
frame_000178.png,,Q__tushar1391@gmail.com N x\n
frame_000179.png,,Q__tushar1391@gmail.com N x\n
frame_000180.png,,Q__tushar1391@gmail.com N x\n
frame_000181.png,,Q__tushar1391@gmail.com N x\n
frame_000182.png,,Q__tushar1391@gmail.com N x\n
frame_000183.png,,Q__tushar1391@gmail.com N x\n
frame_000184.png,,Q__tushar1391@gmail.com N x\n
frame_000185.png,sssssiighttttttrddxx  ...eeeeoo8n,sightsRdQxX a... esteem smotex 8Thingstodo._@Transit\n
frame_000186.png,,sightsRdQxX a... esteem smotex 8Thingstodo._@Transit\n
frame_000187.png,,sightsRdQxX a... esteem smotex 8Thingstodo._@Transit\n
frame_000188.png,,sightsRdQxX a... esteem smotex 8Thingstodo._@Transit\n
frame_000189.png,,sightsRdQxX a... esteem smotex 8Thingstodo._@Transit\n
